GENERAL_ID,Risk_category,registration_number,Lat,Lon,County,Address,Post_code,Locality,Year Built,Height Regime,Apartment count,Surface,Examination Year,Certified expert,Observations,Cadastre Number,Land Registry Number,Administration Update,Admin Update
494,Rs II,138,44.452412,26.066735,București,Calea GRIVIŢEI,174,Sector,1962,S+P+11E,46,404,2001,Niculaie TUDOSE,,,,07.04.2016,03.05.2016
495,Rs II,139,44.454355,26.063825,București,Calea GRIVIŢEI,188,Sector,1962,S+P+11E,46,4095,2001,Niculaie TUDOSE,,,,07.04.2016,03.05.2016
496,Rs II,140,44.470516,26.050915,București,Calea GRIVIŢEI,236,Sector,1961,S+P+8E,93,7612,2001,Silvia CARAMAN,,,,07.04.2016,03.05.2016
497,Rs II,141,44.470358,26.050564,București,Calea GRIVIŢEI,395,Sector,1960,S+P+7E+Ma,92,7717,2001,Dan CAPATINA,,,,07.04.2016,03.05.2016
498,Rs II,142,44.444358,26.079074,București,Strada GĂRII DE NORD,2(4,Sector,1959,S+P+9E,276,15129,2000,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
499,Rs II,143,44.448822,26.091727,București,Strada HENRI COANDĂ,33,Sector,1938,S+P+3E+Pod,5,916,2000,Zefir APOSTOL,,,,07.04.2016,03.05.2016
500,Rs II,144,44.441828,26.089735,București,Strada HENRI MATHIAS BERTHELOT,27,Sector,1940,S+P+6E,0,381,2002,Zefir APOSTOL,,,,07.04.2016,03.05.2016
501,Rs II,145,44.441277,26.088142,București,Strada HENRI MATHIAS BERTHELOT,36,Sector,1936,S+P+4E+Ma,0,6392,1998,Horia DUGAN,,,,07.04.2016,03.05.2016
502,Rs II,146,44.435274,26.106538,București,Bulevardul HRISTO BOTEV,8,Sector,1930,S+P+7E,15,2168,1994,Silvia CARAMAN,,,,07.04.2016,03.05.2016
503,Rs II,147,44.431049,26.103797,București,"Bulevardul I. C. BRĂTIANU (Librăria „COLŢEI"")",12,Sector,1928,S+P+MZ+4E,11,168,1999,Nicolae CONSTANTINESCU,,,,07.04.2016,03.05.2016
504,Rs II,148,44.448773,26.081606,București,Strada IACOB FELIX,11,Sector,1930,S+P+2E,5,569,1996,Maria GABOR,,,,07.04.2016,03.05.2016
505,Rs II,149,44.444257,26.108482,București,Strada ICOANEI,25,Sector,1935,S+P+2E+Ma,5,387,1997,Marin TEODOR,,,,07.04.2016,03.05.2016
506,Rs II,150,44.432181,26.096023,București,Strada ILFOV,1B,Sector,1898,S+P+2E,0,571,1997,Zefir APOSTOL,,,,07.04.2016,03.05.2016
507,Rs II,151,44.445656,26.1055,București,Intrarea IOANID,4,Sector,1910,S+P+1 E+Ma,8,924,1999,Ovidiu GEORGESCU,,,,07.04.2016,03.05.2016
508,Rs II,152,44.459932,26.130853,București,Strada ION BERINDEI,8,Sector,1970,S+P+10E,44,3146,2000,Mihai NAVODARIU,,,,07.04.2016,03.05.2016
509,Rs II,153,44.434001,26.094617,București,Strada ION BREZOIANU,11,Sector,1935,S+P+5E,19,1302,1997,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
510,Rs II,154,44.435233,26.094756,București,Strada ION BREZOIANU,18,Sector,1933,S+P+7E,27,3168,1997,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
511,Rs II,155,44.436404,26.094444,București,Strada ION BREZOIANU,29A,Sector,1930,S+P+8E,45,3672,1994,Dragoş BADEA,,,,07.04.2016,03.05.2016
512,Rs II,156,44.438473,26.092694,București,Strada ION BREZOIANU,53A,Sector,1946,S+P+7E+Ma,34,43,2002,Silvia CARAMAN,,,,07.04.2016,03.05.2016
513,Rs II,157,44.438473,26.092694,București,Strada ION BREZOIANU,53B,Sector,1946,S+P+9E,34,288,2002,Silvia CARAMAN,,,,07.04.2016,03.05.2016
514,Rs II,158,44.437219,26.09751,București,Strada ION CÂMPINEANU (corp A),1,Sector,1957,S+P+7E,47,5891,2000,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
515,Rs II,159,44.437278,26.098488,București,Strada ION CAMPINEANU,13,Sector,1921,S+P+Mz+7E,16,1144,1997,Grigore ARSENIE,,,,07.04.2016,03.05.2016
516,Rs II,160,44.43738,26.095776,București,Strada ION CÂMPINEANU,20A,Sector,1961,S+P+MZ+7E,0,2791,1998,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
517,Rs II,161,44.437456,26.095193,București,Strada ION CAMPINEANU,25,Sector,1960,S+P+MZ+15E,89,794,2004,Mihai NAVODARIU,,,,07.04.2016,03.05.2016
518,Rs II,162,44.4393158,26.0914073,București,Strada ION CAMPINEANU (bloc 4 - sc.1; bl.5; bl.6A),31,Sector,1960,S+P+9E,30,3931,2004,Silvia CARAMAN,,,,07.04.2016,03.05.2016
519,Rs II,163,44.43924,26.093405,București,Strada ION CAMPINEANU (bloc 4 - sc. 2. 3. 4),31,Sector,1959,S+P+9E,90,5789,2004,Adina SIMION,,,,07.04.2016,03.05.2016
520,Rs II,164,44.439942,26.106904,București,Intrarea ION LUCA CARAGIALE,8,Sector,1933,S+P+4E,13,173,1997,Grigore ARSENIE,,,,07.04.2016,03.05.2016
521,Rs II,165,44.469589,26.056098,București,Bulevardul ION MIHALACHE,325,Sector,1962,S+P+10E,44,3833,2008,Stelian PICULESCU. Emilian TITARU,încadrare în clasă de risc seismic în anul 2008,,,07.04.2016,03.05.2016
522,Rs II,166,44.434654,26.101841,București,Strada ION NISTOR,4,Sector,1949,2S+P+10E,0,175,1994,Silvia CARAMAN,,,,07.04.2016,03.05.2016
523,Rs II,167,44.450329,26.096386,București,Strada ION SLĂTINEANU,4,Sector,1935,S+P+2E,6,538,1997,Vladimir AMBROZIE,,,,07.04.2016,03.05.2016
524,Rs II,168,44.433778,26.029011,București,Bulevardul IULIU MANIU (bloc OD16),57,Sector,1972,S+P+11E,264,19492,2000,Silvia CARAMAN,,,,07.04.2016,03.05.2016
525,Rs II,169,44.439936,26.105074,București,Strada JEAN LOUIS CALDERON,40,Sector,1942,S+P+6E,32,2976,2010,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
526,Rs II,170,44.442675,26.104989,București,Strada JEAN LOUIS CALDERON,76,Sector,1900,S+P+1 E+Ma,0,2528,1993,Adina SIMION,,,,07.04.2016,03.05.2016
527,Rs II,171,44.430086,26.071675,București,Strada JOLIOT FREDERIC CURIE,10,Sector,1940,S+P+3E,9,1,1997,Grigore ARSENIE,1938; 1940,,,07.04.2016,03.05.2016
528,Rs II,172,44.430316,26.072057,București,Strada JOLIOT FREDERIC CURIE,7,Sector,1939,S+P+2E,7,480,1997,Silvia CARAMAN,,,,07.04.2016,03.05.2016
529,Rs II,173,44.44419,26.100189,București,Strada JULES MICHELET,19,Sector,1935,S+P+6E,13,1942,1998,Marin TEODOR,,,,07.04.2016,03.05.2016
530,Rs II,174,44.444261,26.100702,București,Strada JULES MICHELET,25,Sector,1936,S+P+6E,11,1552,1997,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
531,Rs II,175,44.447898,26.09463,București,Bulevardul LASCĂR CATARGIU,11,Sector,1939,S+P+6E,95,4445,1994,Dan POPESCU,,,,07.04.2016,03.05.2016
532,Rs II,176,44.456914,26.130985,București,Strada LITOVOI VOIEVOD,1,Sector,1970,S+P+10E,44,3212,2000,Mihai NAVODARIU,,,,07.04.2016,03.05.2016
533,Rs II,177,44.453058,26.120592,București,Strada LIZEANU,20,Sector,1936,S+P+3E,13,945,1997,Alexandru HRISTOFOROV,,,,07.04.2016,03.05.2016
534,Rs II,178,44.454722,26.093038,București,Strada LONDRA,19,Sector,1935,S+P+3E+Ma,12,1313,1996,Vladimir AMBROZIE,,,,07.04.2016,03.05.2016
535,Rs II,179,44.440977,26.092293,București,Strada LUTERANĂ,5,Sector,1932,S+P+5E,71,7315,1998,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
536,Rs II,180,44.442182,26.10782,București,Strada MARIA ROSETTI,16,Sector,1936,S+P+2E+Ma; S+P+4E+Ma,9,147,1993,Adina SIMION,,,,07.04.2016,03.05.2016
537,Rs II,181,44.442205,26.109298,București,Strada MARIA ROSETTI,26,Sector,1938,S+P+6E,12,1239,1997,Niculaie TUDOSE,,,,07.04.2016,03.05.2016
538,Rs II,182,44.442284,26.108409,București,Strada MARIA ROSETTI,31,Sector,1938,S+P+3E+Ma,14,2005,2008,Cristian ENESCU,încadrare în clasă de risc seismic în anul 2008,,,07.04.2016,03.05.2016
539,Rs II,183,44.442289,26.109598,București,Strada MARIA ROSETTI,43,Sector,1936,S+P+2E+Ma,6,1012,1993,Adina SIMION,,,,07.04.2016,03.05.2016
540,Rs II,184,44.441943,26.106802,București,Strada MARIA ROSETTI,8,Sector,1934,S+P+5E,16,1941,1993,Constantin PAVEL,,,,07.04.2016,03.05.2016
541,Rs II,185,44.453346,26.125214,București,Strada MAŞINA DE PAINE,39,Sector,1970,S+P+10E,44,309,2000,Zefir APOSTOL,,,,07.04.2016,03.05.2016
542,Rs II,186,44.453456,26.125761,București,Strada MAŞINA DE PAINE,6,Sector,1969,S+P+10E,88,6746,2000,Zefir APOSTOL,,,,07.04.2016,03.05.2016
543,Rs II,187,44.457398,26.127874,București,Strada MAŞINA DE PAINE,69,Sector,1969,S+P+10E,176,12694,2000,Zefir APOSTOL,,,,07.04.2016,03.05.2016
544,Rs II,188,44.45389,26.125846,București,Strada MAŞINA DE PAINE,8,Sector,1968,S+P+10E,44,309,2000,Zefir APOSTOL,,,,07.04.2016,03.05.2016
545,Rs II,189,44.436409,26.095752,București,Strada MATEI MILLO,12,Sector,1938,S+P+MZ+6E,39,364,1999,Nicolae CONSTANTINESCU,,,,07.04.2016,03.05.2016
546,Rs II,190,44.46555,26.092332,București,Strada MAXIM GORKI,1,Sector,1958,S+P+2E,12,942,1997,Silvia CARAMAN,,,,07.04.2016,03.05.2016
547,Rs II,191,44.440443,26.134955,București,Soseaua MIHAI BRAVII,107(119,Sector,1963,S+P+10E,269,21208,2001,Dan POPESCU,,,,07.04.2016,03.05.2016
548,Rs II,192,44.446845,26.099572,București,Strada MIHAI EMINESCU,34,Sector,1939,S+P+7E,8,833,1994,Victor NEDRITA,,,,07.04.2016,03.05.2016
549,Rs II,193,44.448026,26.106686,București,Strada MIHAI EMINESCU,75A,Sector,1927,S+P+2E+Ma,4,429,1997,Silvia CARAMAN,,,,07.04.2016,03.05.2016
550,Rs II,194,44.435228,26.082086,București,Bulevardul MIHAIL KOGĂLNICEANU,16 (46),Sector,1900,S+P+2E,4,386,1997,Alexandru HRISTOFOROV,,,,07.04.2016,03.05.2016
551,Rs II,195,44.434499,26.086701,București,Bulevardul MIHAIL KOGĂLNICEANU,37 (87),Sector,1932,S+P+3E+Ma,15,104,1997,Marin TEODOR,,,,07.04.2016,03.05.2016
552,Rs II,196,44.442237,26.077805,București,Strada MIRCEA VULCANESCU,108,Sector,1924,S+P+2E+Pod,3,324,1995,Adina SIMION,,,,07.04.2016,03.05.2016
553,Rs II,197,44.42033,26.092427,București,Strada MITROPOLIT NIFON,30,Sector,1937,S+P+2E+Ma,2,267,1997,Sorin APOLZAN,,,,07.04.2016,03.05.2016
554,Rs II,198,44.434021,26.107414,București,Calea MOŞILOR,59,Sector,1933,S+P+3E+Ma,11,11,1993,Alexandru BRINZEI,,,,07.04.2016,03.05.2016
555,Rs II,199,44.435943,26.110115,București,Calea MOŞILOR,126A,Sector,1936,S+P+5E,10,1222,2001,Zefir APOSTOL,,,,07.04.2016,03.05.2016
556,Rs II,200,44.448588,26.124124,București,Calea MOŞILOR,145,Sector,1938,S+P+3E+M,10,1442,2007,Gheorghe MIERTOIU,,,,07.04.2016,03.05.2016
557,Rs II,201,44.422675,26.108842,București,Bulevardul MĂRĂŞEŞTI,100,Sector,1937,S+P+4E,10,692,1997,Mircea IANCULESCU,,,,07.04.2016,03.05.2016
558,Rs II,202,44.435552,26.113219,București,Strada MANTULEASA,16,Sector,1928,S+P+4E,9,1308,2001,Zefir APOSTOL,,,,07.04.2016,03.05.2016
559,Rs II,203,44.42465,26.027485,București,Strada NERA,2,Sector,1964,S+P+9E,240,1755,2000,Mihai NAVODARIU,,,,07.04.2016,03.05.2016
560,Rs II,204,44.438301,26.100917,București,"Bulevardul NICOLAE BĂLCESCU (Librăria „DIVERTA - DALLES"")",18,Sector,1960,S+P+MZ+7E,134,9345,1998,Silvia CARAMAN,,,,07.04.2016,03.05.2016
561,Rs II,205,44.43985,26.099867,București,Bulevardul NICOLAE BĂLCESCU,35(35A,Sector,1937,S+P+8E,49,7558,1998,Rodica VASILESCU,,,,07.04.2016,03.05.2016
562,Rs II,206,44.447748,26.092364,București,Strada NICOLAE IORGA,17,Sector,1940,S+P+6E,15,2247,1994,Gabriel NICULESCU,,,,07.04.2016,03.05.2016
563,Rs II,207,44.430716,26.157971,București,Strada NICULAE T. SEBE,11,Sector,1962,S+P+9E,38,344,2001,Mircea CONDRUT,,,,07.04.2016,03.05.2016
564,Rs II,208,44.457669,26.127534,București,Aleea OTEŞANI,1(7,Sector,1970,S+P+10E,176,13694,2000,Mihai NAVODARIU,,,,07.04.2016,03.05.2016
565,Rs II,209,44.438805,26.12006,București,Bulevardul PACHE PROTOPOPESCU,18,Sector,1924,S+P+2E+Ma,3,313,1997,Emilian TITARU,,,,07.04.2016,03.05.2016
566,Rs II,210,44.438834,26.121046,București,Bulevardul PACHE PROTOPOPESCU,34,Sector,1934,S+P+4E+Ma,0,0,1993,Niculaie TUDOSE,,,,07.04.2016,03.05.2016
567,Rs II,211,44.438795,26.120007,București,Bulevardul PACHE PROTOPOPESCU,44,Sector,1890,S+P+2E,6,721,2012,Niculaie TUDOSE,încadrare în clasă de risc seismic în anul 2012,,,07.04.2016,03.05.2016
568,Rs II,212,44.438165,26.115929,București,Piaţa PACHE PROTOPOPESCU,2,Sector,1938,S+P+4E+Ma,10,1201,2001,Rodica VASILESCU,,,,07.04.2016,03.05.2016
569,Rs II,213,44.446486,26.111414,București,Strada PALADE GHEORGHE,1,Sector,1930,S+P+3E,15,880,1995,Adina SIMION,,,,07.04.2016,03.05.2016
570,Rs II,214,44.434388,26.111849,București,Strada PALEOLOGU,15,Sector,1930,S+P+3E+Ma,10,138,1993,Dan POPESCU,,,,07.04.2016,03.05.2016
571,Rs II,215,44.443912,26.152146,București,Soseaua PANTELIMON,235,Sector,1976,S+P+14E,178,1551,2000,Emilian TITARU,,,,07.04.2016,03.05.2016
572,Rs II,216,44.442658,26.168923,București,Soseaua PANTELIMON (bloc 10),287,Sector,1973,S+P+10E,160,1573,2011,Armand NEFIAN,1973-1975,,,07.04.2016,03.05.2016
573,Rs II,217,44.453852,26.087592,București,Strada PARIS,4,Sector,1937,S+P+3E,14,928,1995,Vladimir AMBROZIE,,,,07.04.2016,03.05.2016
574,Rs II,218,44.457646,26.091992,București,Strada PARIS,40,Sector,1930,S+P+1 E+Ma,11,881,1993,Armand NEFIAN,,,,07.04.2016,03.05.2016
575,Rs II,219,44.438923,26.111932,București,Strada PASULUI,5,Sector,1938,S+P+3E+Ma,5,430,1994,Adina SIMION,,,,07.04.2016,03.05.2016
576,Rs II,220,44.443629,26.094228,București,Strada PIAŢA AMZEI,7(9,Sector,1958,S+P+7E,90,11718,1997,Armand NEFIAN,,,,07.04.2016,03.05.2016
577,Rs II,221,44.442923,26.100828,București,Strada PITAR MOŞ,19,Sector,1936,S+P+2E,10,980,2011,Constantin PAVEL,încadrare în clasă de risc seismic în anul 2011,,,07.04.2016,03.05.2016
578,Rs II,222,44.4243,26.030426,București,Aleea POIANA MUNTELUI (bloc OD3),2,Sector,1964,S+P+9E,224,1755,2000,Mihai NAVODARIU,,,,07.04.2016,03.05.2016
579,Rs II,223,44.448972,26.102953,București,Strada POLONĂ,42,Sector,1930,Ds+P+2E+Pod,6,474,2011,Armand NEFIAN,încadrare în clasă de risc seismic în anul 2011,,,07.04.2016,03.05.2016
580,Rs II,224,44.448302,26.102936,București,Strada POLONĂ,47,Sector,1935,S+P+1E,4,238,1993,Armand NEFIAN,,,,07.04.2016,03.05.2016
581,Rs II,225,44.450025,26.102409,București,Strada POLONĂ,75,Sector,1939,S+P+2E,3,470,1993,Armand NEFIAN,,,,07.04.2016,03.05.2016
582,Rs II,226,44.435177,26.088279,București,Strada POMPILIU ELIADE,4,Sector,1958,S+P+6E,14,14,2002,Rodica VASILESCU,,,,07.04.2016,03.05.2016
583,Rs II,227,44.431727,26.125899,București,Strada POPA NAN,19,Sector,1935,S+P+2E+Ma,11,933,1997,Silvia CARAMAN,,,,07.04.2016,03.05.2016
584,Rs II,228,44.433548,26.125476,București,Strada POPA NAN,76,Sector,1940,S+P+3E,9,755,1996,Maria GABOR,,,,07.04.2016,03.05.2016
585,Rs II,229,44.441101,26.115696,București,Strada POPA PETRE,37,Sector,1924,S+P+2E+Ma,7,616,1993,Adina SIMION,,,,07.04.2016,03.05.2016
586,Rs II,230,44.444493,26.082709,București,Strada POPA TATU,76,Sector,1938,S+P+5E+Ma,12,118,1997,Nicolae ALEMAN,,,,07.04.2016,03.05.2016
587,Rs II,231,44.444575,26.082612,București,Strada POPA TATU,78,Sector,1938,S+P+5E+Ma,14,176,1997,Nicolae TOPA,,,,07.04.2016,03.05.2016
588,Rs II,232,44.419432,26.105432,București,Strada POTERAŞ,35,Sector,1938,S+P+3E,16,895,1997,Armand NEFIAN,,,,07.04.2016,03.05.2016
589,Rs II,233,44.425095,26.040907,București,Aleea PRAVĂŢ (bloc Z6),2,Sector,1968,S+P+10E,66,5198,2010,Ion LUNGU,,,,07.04.2016,03.05.2016
590,Rs II,234,44.442489,26.116812,București,Intrarea PROCOPIE DUMITRESCU,3,Sector,1930,S+P+2E,4,509,1993,Adina SIMION,,,,07.04.2016,03.05.2016
591,Rs II,235,44.434699,26.09563,București,"Bulevardul REGINA ELISABETA (ADMINISTRAŢIA FONDULUI IMOBILIAR; Librăria „MIHAI EMINESCU"")",16,Sector,1935,S+P+9E,0,10062,2001,Silvia CARAMAN,,,,07.04.2016,03.05.2016
592,Rs II,236,44.434455,26.083826,București,Bulevardul REGINA ELISABETA (fost Bulevardul MIHAIL KOGĂLNICEANU),25 (5),Sector,1934,S+P+9E,40,5,1997,Grigore ARSENIE,,,,07.04.2016,03.05.2016
593,Rs II,237,44.436015,26.093387,București,Intrarea RIGAS,29B,Sector,1938,P+S+6,47,4072,2007,Rodica VASILESCU,,,,07.04.2016,03.05.2016
594,Rs II,238,44.453934,26.094619,București,Strada ROMA,8,Sector,1923,S+P+2E,3,660,1997,Dragoş BADEA,,,,07.04.2016,03.05.2016
595,Rs II,239,44.428851,26.115355,București,Strada ROMULUS,64,Sector,1890,S+P+1E; S+P+1E,4,909,1993,Adina SIMION,,,,07.04.2016,03.05.2016
596,Rs II,240,44.436964,26.088404,București,Strada SCHITU DARVARI,14A,Sector,1935,S+P+2E+Ma,2,533,1997,Nicolae CONSTANTINESCU,,,,07.04.2016,03.05.2016
597,Rs II,241,44.43614,26.088614,București,Bulevardul SCHITU MAGUREANU,17,Sector,1938,S+P+4E+Ma,19,1267,1997,Nicolae ALEMAN,,,,07.04.2016,03.05.2016
598,Rs II,242,44.436983,26.088302,București,Bulevardul SCHITU MĂGUREANU,25,Sector,1947,S+P+10E,28,230,1995,Silvia CARAMAN,,,,07.04.2016,03.05.2016
599,Rs II,243,44.4385,26.087376,București,Bulevardul SCHITU MĂGUREANU,39,Sector,1946,S+P+7E,34,34,1997,Teodor MARIN,,,,07.04.2016,03.05.2016
600,Rs II,244,44.460074,26.068837,București,Strada SFÂNTA MARIA,51,Sector,1926,S+P+2E,3,309,1997,Marin TEODOR,,,,07.04.2016,03.05.2016
601,Rs II,245,44.436223,26.086302,București,Strada SFÂNTUL CONSTANTIN,24,Sector,1927,S+P+5E,27,3312,2000,Rodica VASILESCU,,,,07.04.2016,03.05.2016
602,Rs II,246,44.433685,26.076484,București,Strada SFÂNTUL ELEFTERIE,14,Sector,1934,S+P+2E+Ma,12,1112,1997,Alexandru HRISTOFOROV,,,,07.04.2016,03.05.2016
603,Rs II,247,44.433597,26.076283,București,Strada SFÂNTUL ELEFTERIE,16,Sector,1934,S+P+3E,14,1255,1997,Alexandru HRISTOFOROV,,,,07.04.2016,03.05.2016
604,Rs II,248,44.435051,26.116479,București,Strada SFÂNTUL ŞTEFAN,4,Sector,1937,S+P+1 E+Ma,0,0,1993,Niculaie TUDOSE,,,,07.04.2016,03.05.2016
605,Rs II,249,44.429208,26.094111,București,Strada SFINŢII APOSTOLI,40,Sector,1945,S+P+6E,20,175,2002,Rodica VASILESCU,,,,07.04.2016,03.05.2016
606,Rs II,250,44.428357,26.095197,București,Strada SFINŢII APOSTOLI,1,Sector,1897,S+P+2E,11,135,1997,Emilian TITARU,,,,07.04.2016,03.05.2016
607,Rs II,251,44.446563,26.085577,București,Strada SFINŢII VOIEVOZI,29,Sector,1940,S+P+4E+Ma,29,1848,1999,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
608,Rs II,252,44.447154,26.088487,București,Strada SFINŢII VOIEVOZI,55,Sector,1920,S+P+1 E+Ma,4,572,2016,Cristian ENESCU,încadrare în clasă de risc seismic în anul 2016,,,07.04.2016,03.05.2016
609,Rs II,253,44.434102,26.090696,București,Strada SILFIDELOR,4,Sector,1939,S+P+7E,27,208,1999,Maria DARIE,,,,07.04.2016,03.05.2016
610,Rs II,254,44.430486,26.10152,București,Strada SOARELUI,3(5,Sector,1900,S+P+1E+Pod,3,1492,1993,Adina SIMION,,,,07.04.2016,03.05.2016
611,Rs II,255,44.446526,26.139194,București,Strada SPĂTARUL NICOLAE MILESCU,6,Sector,1933,S+P+3E,8,1,1997,Nicolae CONSTANTINESCU,,,,07.04.2016,03.05.2016
612,Rs II,256,44.437639,26.11175,București,Strada SPĂTARULUI,1A,Sector,1942,S+P+7E,15,2607,1997,Niculaie TUDOSE,,,,07.04.2016,03.05.2016
613,Rs II,257,44.438236,26.112771,București,Intrarea SPĂTARULUI,3,Sector,1939,S+P+3E+Ma,8,1376,1997,Marin TEODOR 1993;1997,,,,07.04.2016,03.05.2016
614,Rs II,258,44.438459,26.108541,București,Strada SPERANŢEI,13,Sector,1940,S+P+5E+Ma,11,105,1997,Stere CARACOTI,,,,07.04.2016,03.05.2016
615,Rs II,259,44.438272,26.108555,București,Strada SPERANŢEI,26,Sector,1941,S+P+6E,26,1255,1997,Marin TEODOR,,,,07.04.2016,03.05.2016
616,Rs II,260,44.43142,26.107434,București,Strada STELEA SPATARU,12,Sector,1906,Ds+P+1 E+Ma,0,1109,2016,Mihai URSACHESCU,1906+1910 / încadrare în clasă de risc seismic în anul 2016,,,07.04.2016,03.05.2016
617,Rs II,261,44.431805,26.128311,București,Intrarea ŞTAFETEI,2A,Sector,1920,S+P+3E,8,530,1993,Adina SIMION,,,,07.04.2016,03.05.2016
618,Rs II,262,44.38337,26.12031,București,Strada STRĂDUINŢEI,6,Sector,1964,S+P+9E,82,582,2000,Gabriel NICULESCU,,,,07.04.2016,03.05.2016
619,Rs II,263,44.430395,26.100785,București,Strada ŞELARI,13,Sector,1910,S+P+2E,0,1106,2016,Andrei Dragoş MARCU,încadrare în clasă de risc seismic în anul 2016,,,07.04.2016,03.05.2016
620,Rs II,264,44.423343,26.102901,București,Calea ŞERBAN VODĂ,31,Sector,1930,S+P+Mz+4E,29,1374,1999,Rodica VASILESCU,,,,07.04.2016,03.05.2016
621,Rs II,265,44.419249,26.101521,București,Calea ŞERBAN VODĂ,105,Sector,0,S+P+4E,16,1205,1995,Gabriel NICULESCU 1993;1995,,,,07.04.2016,03.05.2016
622,Rs II,266,44.418295,26.100906,București,Calea ŞERBAN VODĂ,124,Sector,1938,S+P+3E+Ma,10,912,1997,Armand NEFIAN,,,,07.04.2016,03.05.2016
623,Rs II,267,44.453326,26.101713,București,Şoseaua ŞTEFAN CEL MARE,5,Sector,1962,S+P+8E,134,1073,1997,Marin TEODOR,,,,07.04.2016,03.05.2016
624,Rs II,268,44.452697,26.104263,București,Şoseaua ŞTEFAN CEL MARE,18,Sector,1957,S+P+6E,21,1782,2001,Adina SIMION,,,,07.04.2016,03.05.2016
625,Rs II,269,44.45272,26.104481,București,Şoseaua ŞTEFAN CEL MARE,20,Sector,1936,P+3E,6,115,2010,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
626,Rs II,270,44.452755,26.117271,București,Şoseaua ŞTEFAN CEL MARE,27,Sector,1960,S+P+6E,49,343,2000,Rodica VASILESCU,,,,07.04.2016,03.05.2016
627,Rs II,271,44.452604,26.112002,București,Şoseaua ŞTEFAN CEL MARE,42,Sector,1960,S+P+6E,24,3269,2001,Rodica VASILESCU,,,,07.04.2016,03.05.2016
628,Rs II,272,44.43434,26.116959,București,Strada ŞTEFAN MIHŞILEANU,7,Sector,1931,S+P+1 E+Ma,1,238,1997,Nicolae CONSTANTINESCU,,,,07.04.2016,03.05.2016
629,Rs II,273,44.440116,26.082954,București,Strada ŞTIRBEI VODĂ,122,Sector,1920,S+P+1E ; S+P,4,132,1993,Silvia CARAMAN,,,,07.04.2016,03.05.2016
630,Rs II,274,44.438231,26.078401,București,Strada ŞTIRBEI VODĂ,129,Sector,1929,S+P+3E,8,960,1996,Vladimir AMBROZIE,,,,07.04.2016,03.05.2016
631,Rs II,275,44.439886,26.0918,București,Strada ŞTIRBEI VODĂ,23,Sector,1941,S+P+7E+Ma,25,198,1999,Marin TEODOR,,,,07.04.2016,03.05.2016
632,Rs II,276,44.444447,26.097842,București,Strada TACHE IONESCU,8,Sector,1938,S+P+11E,51,4979,1998,Anatolie CAZACLIU,,,,07.04.2016,03.05.2016
633,Rs II,277,44.421584,26.02855,București,Strada TARGU NEAMŢ,2,Sector,1971,S+P+10E,88,6996,2000,Zefir APOSTOL,,,,07.04.2016,03.05.2016
634,Rs II,278,44.435587,26.129155,București,Strada TELEAJEN,42,Sector,1967,S+P+3E,0,515,1993,Adina SIMION,,,,07.04.2016,03.05.2016
635,Rs II,279,44.434264,26.130954,București,Strada TELEAJEN,72,Sector,1935,S+P+1E; S+P+1 E+Ma,6,414,1993,Dan POPESCU,1924; 1935,,,07.04.2016,03.05.2016
636,Rs II,280,44.45486,26.069888,București,Strada TEODOSIE RUDEANU,70,Sector,1914,S+P+1E,1,56,1997,Nicolae CONSTANTINESCU,,,,07.04.2016,03.05.2016
637,Rs II,281,44.44148,26.112207,București,Strada TOAMNEI,8,Sector,1942,S+P+5E,27,2224,2007,Mihai URSĂCHESCU,încadrare în clasă de risc seismic în anul 2007,,,07.04.2016,03.05.2016
638,Rs II,282,44.448404,26.116223,București,Strada TOAMNEI,121,Sector,1933,S+P+1 E+Ma,3,357,1993,Silvia CARAMAN,,,,07.04.2016,03.05.2016
639,Rs II,283,44.448777,26.116333,București,Strada TOAMNEI,125,Sector,1921,S+P+3E,5,328,1993,Adina SIMION,,,,07.04.2016,03.05.2016
640,Rs II,284,44.444021,26.11386,București,Strada TOAMNEI,56(58,Sector,1922,S+P+2E+Pod,4,525,1993,Silvia CARAMAN,,,,07.04.2016,03.05.2016
641,Rs II,285,44.459746,26.133098,București,Strada TREI SCAUNE,15,Sector,1937,S+P+Ma,1,120,1997,Niculaie TUDOSE,,,,07.04.2016,03.05.2016
642,Rs II,286,44.439106,26.103653,București,Strada TUDOR ARGHEZI,32,Sector,1936,P+Mz+7+Ma; P+Mz+8+Ma,48,375,1999,Mircea NEICU. Grigore ARSENIE,,,,07.04.2016,03.05.2016
643,Rs II,287,44.429912,26.123074,București,Strada VALERIU BRANIŞTE,23,Sector,1928,S+P+2E+Ma,10,585,1997,Alexandru HRISTOFOROV,,,,07.04.2016,03.05.2016
